Barcode,Well,Result,Column,Row,Reverse Row,Percent Inhibition
NB00153867,A01,156437,1,1,-1,
NB00153867,A02,142513,2,1,-1,
NB00153867,A03,141284,3,1,-1,
NB00153867,A04,139604,4,1,-1,
NB00153867,A05,4879674,5,1,-1,13.47
NB00153867,A06,4879247,6,1,-1,13.48
NB00153867,A07,4738508,7,1,-1,16.06
NB00153867,A08,4672594,8,1,-1,17.26
NB00153867,A09,4880559,9,1,-1,13.46
NB00153867,A10,4772142,10,1,-1,15.44
NB00153867,A11,4780461,11,1,-1,15.29
NB00153867,A12,4636004,12,1,-1,17.93
NB00153867,A13,4803283,13,1,-1,14.87
NB00153867,A14,4841377,14,1,-1,14.18
NB00153867,A15,4829686,15,1,-1,14.39
NB00153867,A16,4776666,16,1,-1,15.36
NB00153867,A17,4899920,17,1,-1,13.1
NB00153867,A18,4877130,18,1,-1,13.52
NB00153867,A19,4905942,19,1,-1,12.99
NB00153867,A20,4775483,20,1,-1,15.38
NB00153867,A21,4828037,21,1,-1,14.42
NB00153867,A22,4792930,22,1,-1,15.06
NB00153867,A23,4749828,23,1,-1,15.85
NB00153867,A24,4827477,24,1,-1,14.43
NB00153867,A25,4818487,25,1,-1,14.59
NB00153867,A26,4960436,26,1,-1,12.0
NB00153867,A27,4836807,27,1,-1,14.26
NB00153867,A28,4937100,28,1,-1,12.42
NB00153867,A29,5005910,29,1,-1,11.16
NB00153867,A30,5150536,30,1,-1,8.52
NB00153867,A31,4971987,31,1,-1,11.78
NB00153867,A32,5002022,32,1,-1,11.24
NB00153867,A33,5132476,33,1,-1,8.85
NB00153867,A34,5217030,34,1,-1,7.3
NB00153867,A35,5108479,35,1,-1,9.29
NB00153867,A36,5179184,36,1,-1,7.99
NB00153867,A37,5295964,37,1,-1,5.85
NB00153867,A38,5188177,38,1,-1,7.83
NB00153867,A39,4864467,39,1,-1,13.75
NB00153867,A40,5226394,40,1,-1,7.13
NB00153867,A41,5349477,41,1,-1,4.88
NB00153867,A42,5270884,42,1,-1,6.31
NB00153867,A43,5190557,43,1,-1,7.78
NB00153867,A44,5378836,44,1,-1,4.34
NB00153867,A45,5439627,45,1,-1,
NB00153867,A46,5329400,46,1,-1,
NB00153867,A47,5176087,47,1,-1,
NB00153867,A48,5122123,48,1,-1,
NB00153867,B01,150373,1,2,-2,
NB00153867,B02,143224,2,2,-2,
NB00153867,B03,147140,3,2,-2,
NB00153867,B04,142254,4,2,-2,
NB00153867,B05,5093372,5,2,-2,9.56
NB00153867,B06,5124596,6,2,-2,8.99
NB00153867,B07,5020661,7,2,-2,10.89
NB00153867,B08,4984831,8,2,-2,11.55
NB00153867,B09,4959581,9,2,-2,12.01
NB00153867,B10,5144579,10,2,-2,8.63
NB00153867,B11,5229268,11,2,-2,7.08
NB00153867,B12,5146944,12,2,-2,8.58
NB00153867,B13,5208164,13,2,-2,7.46
NB00153867,B14,5197673,14,2,-2,7.65
NB00153867,B15,5214407,15,2,-2,7.35
NB00153867,B16,5194846,16,2,-2,7.71
NB00153867,B17,5229833,17,2,-2,7.07
NB00153867,B18,5102419,18,2,-2,9.4
NB00153867,B19,5150354,19,2,-2,8.52
NB00153867,B20,5142992,20,2,-2,8.65
NB00153867,B21,5175879,21,2,-2,8.05
NB00153867,B22,5100507,22,2,-2,9.43
NB00153867,B23,5172955,23,2,-2,8.11
NB00153867,B24,5279407,24,2,-2,6.16
NB00153867,B25,5254312,25,2,-2,6.62
NB00153867,B26,5396138,26,2,-2,4.02
NB00153867,B27,5318352,27,2,-2,5.44
NB00153867,B28,5443590,28,2,-2,3.15
NB00153867,B29,5361289,29,2,-2,4.66
NB00153867,B30,5307614,30,2,-2,5.64
NB00153867,B31,5303108,31,2,-2,5.72
NB00153867,B32,5403580,32,2,-2,3.88
NB00153867,B33,5604345,33,2,-2,0.21
NB00153867,B34,5274659,34,2,-2,6.24
NB00153867,B35,5423476,35,2,-2,3.52
NB00153867,B36,5417196,36,2,-2,3.64
NB00153867,B37,5568899,37,2,-2,0.86
NB00153867,B38,5587058,38,2,-2,0.53
NB00153867,B39,5464928,39,2,-2,2.76
NB00153867,B40,5621707,40,2,-2,-0.11
NB00153867,B41,5612405,41,2,-2,0.06
NB00153867,B42,5650529,42,2,-2,-0.64
NB00153867,B43,5517468,43,2,-2,1.8
NB00153867,B44,5547972,44,2,-2,1.24
NB00153867,B45,5654214,45,2,-2,
NB00153867,B46,5629063,46,2,-2,
NB00153867,B47,5560313,47,2,-2,
NB00153867,B48,5244950,48,2,-2,
NB00153867,C01,141468,1,3,-3,
NB00153867,C02,145220,2,3,-3,
NB00153867,C03,140040,3,3,-3,
NB00153867,C04,140405,4,3,-3,
NB00153867,C05,5065963,5,3,-3,10.06
NB00153867,C06,5072915,6,3,-3,9.94
NB00153867,C07,5034239,7,3,-3,10.65
NB00153867,C08,4759858,8,3,-3,15.67
NB00153867,C09,4980358,9,3,-3,11.63
NB00153867,C10,5016130,10,3,-3,10.98
NB00153867,C11,5019344,11,3,-3,10.92
NB00153867,C12,4779071,12,3,-3,15.32
NB00153867,C13,4892242,13,3,-3,13.24
NB00153867,C14,5111465,14,3,-3,9.23
NB00153867,C15,5026326,15,3,-3,10.79
NB00153867,C16,4951110,16,3,-3,12.17
NB00153867,C17,5135481,17,3,-3,8.79
NB00153867,C18,5679339,18,3,-3,-1.16
NB00153867,C19,5033117,19,3,-3,10.67
NB00153867,C20,4999466,20,3,-3,11.28
NB00153867,C21,5064152,21,3,-3,10.1
NB00153867,C22,4977732,22,3,-3,11.68
NB00153867,C23,4858337,23,3,-3,13.87
NB00153867,C24,5052542,24,3,-3,10.31
NB00153867,C25,5316304,25,3,-3,5.48
NB00153867,C26,5199383,26,3,-3,7.62
NB00153867,C27,5132943,27,3,-3,8.84
NB00153867,C28,5316065,28,3,-3,5.49
NB00153867,C29,5175410,29,3,-3,8.06
NB00153867,C30,5217693,30,3,-3,7.29
NB00153867,C31,5207785,31,3,-3,7.47
NB00153867,C32,5138262,32,3,-3,8.74
NB00153867,C33,5228082,33,3,-3,7.1
NB00153867,C34,5282968,34,3,-3,6.09
NB00153867,C35,5269000,35,3,-3,6.35
NB00153867,C36,5240391,36,3,-3,6.87
NB00153867,C37,5361301,37,3,-3,4.66
NB00153867,C38,5480285,38,3,-3,2.48
NB00153867,C39,5385547,39,3,-3,4.21
NB00153867,C40,5482825,40,3,-3,2.43
NB00153867,C41,5476295,41,3,-3,2.55
NB00153867,C42,5444760,42,3,-3,3.13
NB00153867,C43,5334854,43,3,-3,5.14
NB00153867,C44,5515047,44,3,-3,1.84
NB00153867,C45,5629988,45,3,-3,
NB00153867,C46,5461794,46,3,-3,
NB00153867,C47,5370527,47,3,-3,
NB00153867,C48,5352160,48,3,-3,
NB00153867,D01,143319,1,4,-4,
NB00153867,D02,142662,2,4,-4,
NB00153867,D03,145567,3,4,-4,
NB00153867,D04,140355,4,4,-4,
NB00153867,D05,5253695,5,4,-4,6.63
NB00153867,D06,5239782,6,4,-4,6.88
NB00153867,D07,5185327,7,4,-4,7.88
NB00153867,D08,5158426,8,4,-4,8.37
NB00153867,D09,5319104,9,4,-4,5.43
NB00153867,D10,5221824,10,4,-4,7.21
NB00153867,D11,5345345,11,4,-4,4.95
NB00153867,D12,5173151,12,4,-4,8.1
NB00153867,D13,5304038,13,4,-4,5.71
NB00153867,D14,5294851,14,4,-4,5.87
NB00153867,D15,5336514,15,4,-4,5.11
NB00153867,D16,5278501,16,4,-4,6.17
NB00153867,D17,5297034,17,4,-4,5.84
NB00153867,D18,5216943,18,4,-4,7.3
NB00153867,D19,5268972,19,4,-4,6.35
NB00153867,D20,5189600,20,4,-4,7.8
NB00153867,D21,5211589,21,4,-4,7.4
NB00153867,D22,5145544,22,4,-4,8.61
NB00153867,D23,5277725,23,4,-4,6.19
NB00153867,D24,5378440,24,4,-4,4.34
NB00153867,D25,5284449,25,4,-4,6.07
NB00153867,D26,5481562,26,4,-4,2.46
NB00153867,D27,5615005,27,4,-4,0.01
NB00153867,D28,5276885,28,4,-4,6.2
NB00153867,D29,5467101,29,4,-4,2.72
NB00153867,D30,5641103,30,4,-4,-0.46
NB00153867,D31,5357175,31,4,-4,4.73
NB00153867,D32,5355173,32,4,-4,4.77
NB00153867,D33,5276148,33,4,-4,6.22
NB00153867,D34,5474037,34,4,-4,2.6
NB00153867,D35,5435531,35,4,-4,3.3
NB00153867,D36,5370004,36,4,-4,4.5
NB00153867,D37,5443130,37,4,-4,3.16
NB00153867,D38,5442789,38,4,-4,3.17
NB00153867,D39,5542972,39,4,-4,1.33
NB00153867,D40,5614388,40,4,-4,0.03
NB00153867,D41,5687723,41,4,-4,-1.32
NB00153867,D42,5650157,42,4,-4,-0.63
NB00153867,D43,5971774,43,4,-4,-6.52
NB00153867,D44,5632248,44,4,-4,-0.3
NB00153867,D45,5679643,45,4,-4,
NB00153867,D46,5639334,46,4,-4,
NB00153867,D47,5566968,47,4,-4,
NB00153867,D48,5351949,48,4,-4,
NB00153867,E01,177068,1,5,-5,
NB00153867,E02,147475,2,5,-5,
NB00153867,E03,146638,3,5,-5,
NB00153867,E04,144596,4,5,-5,
NB00153867,E05,5324568,5,5,-5,5.33
NB00153867,E06,5397388,6,5,-5,4.0
NB00153867,E07,5284917,7,5,-5,6.06
NB00153867,E08,5026950,8,5,-5,10.78
NB00153867,E09,5216664,9,5,-5,7.31
NB00153867,E10,5158980,10,5,-5,8.36
NB00153867,E11,5182032,11,5,-5,7.94
NB00153867,E12,4958138,12,5,-5,12.04
NB00153867,E13,5231663,13,5,-5,7.03
NB00153867,E14,5190558,14,5,-5,7.78
NB00153867,E15,5181635,15,5,-5,7.95
NB00153867,E16,5039530,16,5,-5,10.55
NB00153867,E17,5252750,17,5,-5,6.65
NB00153867,E18,5375191,18,5,-5,4.4
NB00153867,E19,5270288,19,5,-5,6.32
NB00153867,E20,5199607,20,5,-5,7.62
NB00153867,E21,5222816,21,5,-5,7.19
NB00153867,E22,5204457,22,5,-5,7.53
NB00153867,E23,5170049,23,5,-5,8.16
NB00153867,E24,5188080,24,5,-5,7.83
NB00153867,E25,5229523,25,5,-5,7.07
NB00153867,E26,5245547,26,5,-5,6.78
NB00153867,E27,5212997,27,5,-5,7.37
NB00153867,E28,5333246,28,5,-5,5.17
NB00153867,E29,5307758,29,5,-5,5.64
NB00153867,E30,5359047,30,5,-5,4.7
NB00153867,E31,5339121,31,5,-5,5.06
NB00153867,E32,5296240,32,5,-5,5.85
NB00153867,E33,5615360,33,5,-5,0.01
NB00153867,E34,5292009,34,5,-5,5.93
NB00153867,E35,5377415,35,5,-5,4.36
NB00153867,E36,5340450,36,5,-5,5.04
NB00153867,E37,5608958,37,5,-5,0.13
NB00153867,E38,5564588,38,5,-5,0.94
NB00153867,E39,5530215,39,5,-5,1.57
NB00153867,E40,5655197,40,5,-5,-0.72
NB00153867,E41,5732723,41,5,-5,-2.14
NB00153867,E42,5683842,42,5,-5,-1.25
NB00153867,E43,5464099,43,5,-5,2.78
NB00153867,E44,5597893,44,5,-5,0.33
NB00153867,E45,5826332,45,5,-5,
NB00153867,E46,5623170,46,5,-5,
NB00153867,E47,5557206,47,5,-5,
NB00153867,E48,5499735,48,5,-5,
NB00153867,F01,146534,1,6,-6,
NB00153867,F02,145524,2,6,-6,
NB00153867,F03,147308,3,6,-6,
NB00153867,F04,144089,4,6,-6,
NB00153867,F05,5256667,5,6,-6,6.57
NB00153867,F06,5334347,6,6,-6,5.15
NB00153867,F07,5329668,7,6,-6,5.24
NB00153867,F08,5125598,8,6,-6,8.97
NB00153867,F09,5215967,9,6,-6,7.32
NB00153867,F10,5779578,10,6,-6,-3.0
NB00153867,F11,5325953,11,6,-6,5.31
NB00153867,F12,5231004,12,6,-6,7.04
NB00153867,F13,5387495,13,6,-6,4.18
NB00153867,F14,5394946,14,6,-6,4.04
NB00153867,F15,5367514,15,6,-6,4.54
NB00153867,F16,5361809,16,6,-6,4.65
NB00153867,F17,5484923,17,6,-6,2.4
NB00153867,F18,5381232,18,6,-6,4.29
NB00153867,F19,5368276,19,6,-6,4.53
NB00153867,F20,5290675,20,6,-6,5.95
NB00153867,F21,5350277,21,6,-6,4.86
NB00153867,F22,5277808,22,6,-6,6.19
NB00153867,F23,5403421,23,6,-6,3.89
NB00153867,F24,5435029,24,6,-6,3.31
NB00153867,F25,5349860,25,6,-6,4.87
NB00153867,F26,5474783,26,6,-6,2.58
NB00153867,F27,5767322,27,6,-6,-2.77
NB00153867,F28,5326023,28,6,-6,5.3
NB00153867,F29,5595566,29,6,-6,0.37
NB00153867,F30,5603762,30,6,-6,0.22
